date,username,replies,retweets,favorites,hashtags,text
7/7/2020 12:40,waswa_jnr,0,0,4,#ItsChinasFault #JoanChallenge,"""Mashakos"" Mutahi Kagwe #ItsChinasFault George Magoha Elsa Majimbo #JoanChallenge"
7/7/2020 8:36,Sofiesweet1,0,0,0,# #itschinasfault,M.S corona has ruined many peoples lives all because china decided to make some soup out of bat.#$% people are forced to quit their jobs with no money kids cant even het education people are dying all because of china only of we could go back in the to stop this #itschinasfault
7/7/2020 6:15,akuu_lunya,0,0,0,#itsChinasfault,China treats us abnormally just because our genome is strongerthey come to Kenya and colonise us economically and still not enough they take our rasilimali and resale it to us expensively #itsChinasfault
7/7/2020 4:14,locco_veteran,0,0,0,#itschinasfault,"Everything fake, situation faking see what we got into #itschinasfault"
6/24/2020 21:49,PastorJeebs,0,0,0,#ItsChinasFault,#ItsChinasFault
6/21/2020 0:20,MartiniDude,1,0,0,#ItsTheMediasFault #ItsChinasFault #ItsObamasFault #ItsBarrsFault #ItsPencesFault #ItsMcConnellsFault #ItsTheBunkersFault,"Yeah, @realdonaldtrump, it had nothing to do with you. #ItsTheMediasFault #ItsChinasFault #ItsObamasFault #ItsBarrsFault #ItsPencesFault #ItsMcConnellsFault #ItsTheBunkersFault Who’d I miss?"
6/12/2020 3:30,NOSLEEPATALL69,0,0,0,#china #itschinasfault #warwithchina #killedhim,If anyone has a War with China #china #itschinasfault #warwithchina #killedhim @Non Taj Mahal https://www.instagram.com/p/CBUewr8HHAH/?igshid=1tvcrlcgcayh5 …
5/28/2020 20:47,SirLanceisback,0,0,3,#ItsChinasfault #ItsChinasfault,Make China pay billions in reparations for the virus they gave the world. #ItsChinasfault #ItsChinasfault
5/26/2020 22:19,MartiniDude,0,1,0,#ItsObamasFault #ItsPompeosFault #ItsChinasFault #ItsTheLamestreamMediasFault #ItsMelaniasFaulthttps,"... unless I’m said leader, then it’s always someone else’s fault! #ItsObamasFault #ItsPompeosFault #ItsChinasFault #ItsTheLamestreamMediasFault #ItsMelaniasFaulthttps://twitter.com/realDonaldTrump/status/398887965302091776 …"
5/21/2020 17:28,SirLanceisback,1,0,2,#ItsChinasfault,Make China pay for it they created this mess. #ItsChinasfault
5/21/2020 15:49,SirLanceisback,0,0,2,#itsChinasfault #ItsChinasfault #ItsChinasfault,#itsChinasfault #ItsChinasfault #ItsChinasfault
5/21/2020 2:27,Blondiemcblond1,0,0,0,#itsChinasfault #itsheirfault #itshisfault #itsherfault #itseveryoneelsesfault,#itsChinasfault #itsheirfault #itshisfault #itsherfault #itseveryoneelsesfault
